fifa_code,fbref_code,name,aliases
ALG,ALG,Algeria,algeria
ARG,ARG,Argentina,argentina
AUS,AUS,Australia,australia
AUT,AUT,Austria,austria
BEL,BEL,Belgium,belgium
BIH,BIH,Bosnia And Herzegovina,bosnia and herzegovina|bosnia|bosnia-herzegovina|bosnia & herzegovina|bosnia herzegovina
BRA,BRA,Brazil,brazil
CPV,CPV,Cabo Verde,cabo verde|cape verde
CAN,CAN,Canada,canada
COL,COL,Colombia,colombia
COD,COD,Congo DR,congo dr|dr congo|democratic republic of the congo|congo-kinshasa|dr. congo
CRO,CRO,Croatia,croatia
CUW,CUW,Curaçao,curacao
CZE,CZE,Czechia,czechia|czech republic
CIV,CIV,Côte D'Ivoire,cote d'ivoire|ivory coast|cote divoire|cote d ivoire
ECU,ECU,Ecuador,ecuador
EGY,EGY,Egypt,egypt
ENG,ENG,England,england
FRA,FRA,France,france
GER,GER,Germany,germany
GHA,GHA,Ghana,ghana
HAI,HAI,Haiti,haiti
IRN,IRN,IR Iran,ir iran|iran
IRQ,IRQ,Iraq,iraq
JPN,JPN,Japan,japan
JOR,JOR,Jordan,jordan
KOR,KOR,Korea Republic,korea republic|south korea|korea|republic of korea
MEX,MEX,Mexico,mexico
MAR,MAR,Morocco,morocco
NED,NED,Netherlands,netherlands|holland
NZL,NZL,New Zealand,new zealand
NOR,NOR,Norway,norway
PAN,PAN,Panama,panama
PAR,PAR,Paraguay,paraguay
POR,POR,Portugal,portugal
QAT,QAT,Qatar,qatar
KSA,KSA,Saudi Arabia,saudi arabia|ksa
SCO,SCO,Scotland,scotland
SEN,SEN,Senegal,senegal
RSA,RSA,South Africa,south africa
ESP,ESP,Spain,spain
SWE,SWE,Sweden,sweden
SUI,SUI,Switzerland,switzerland
TUN,TUN,Tunisia,tunisia
TUR,TUR,Türkiye,turkiye|turkey
USA,USA,USA,usa|united states|united states of america|us
URU,URU,Uruguay,uruguay
UZB,UZB,Uzbekistan,uzbekistan
