nation_code,opponent_code,group
RSA,KOR,A
KOR,RSA,A
RSA,CZE,A
CZE,RSA,A
RSA,MEX,A
MEX,RSA,A
KOR,CZE,A
CZE,KOR,A
KOR,MEX,A
MEX,KOR,A
CZE,MEX,A
MEX,CZE,A
CAN,QAT,B
QAT,CAN,B
CAN,SUI,B
SUI,CAN,B
CAN,BIH,B
BIH,CAN,B
QAT,SUI,B
SUI,QAT,B
QAT,BIH,B
BIH,QAT,B
SUI,BIH,B
BIH,SUI,B
BRA,SCO,C
SCO,BRA,C
BRA,MAR,C
MAR,BRA,C
BRA,HAI,C
HAI,BRA,C
SCO,MAR,C
MAR,SCO,C
SCO,HAI,C
HAI,SCO,C
MAR,HAI,C
HAI,MAR,C
TUR,PAR,D
PAR,TUR,D
TUR,USA,D
USA,TUR,D
TUR,AUS,D
AUS,TUR,D
PAR,USA,D
USA,PAR,D
PAR,AUS,D
AUS,PAR,D
USA,AUS,D
AUS,USA,D
CIV,ECU,E
ECU,CIV,E
CIV,CUW,E
CUW,CIV,E
CIV,GER,E
GER,CIV,E
ECU,CUW,E
CUW,ECU,E
ECU,GER,E
GER,ECU,E
CUW,GER,E
GER,CUW,E
NED,TUN,F
TUN,NED,F
NED,JPN,F
JPN,NED,F
NED,SWE,F
SWE,NED,F
TUN,JPN,F
JPN,TUN,F
TUN,SWE,F
SWE,TUN,F
JPN,SWE,F
SWE,JPN,F
EGY,NZL,G
NZL,EGY,G
EGY,BEL,G
BEL,EGY,G
EGY,IRN,G
IRN,EGY,G
NZL,BEL,G
BEL,NZL,G
NZL,IRN,G
IRN,NZL,G
BEL,IRN,G
IRN,BEL,G
CPV,KSA,H
KSA,CPV,H
CPV,ESP,H
ESP,CPV,H
CPV,URU,H
URU,CPV,H
KSA,ESP,H
ESP,KSA,H
KSA,URU,H
URU,KSA,H
ESP,URU,H
URU,ESP,H
FRA,IRQ,I
IRQ,FRA,I
FRA,NOR,I
NOR,FRA,I
FRA,SEN,I
SEN,FRA,I
IRQ,NOR,I
NOR,IRQ,I
IRQ,SEN,I
SEN,IRQ,I
NOR,SEN,I
SEN,NOR,I
AUT,ARG,J
ARG,AUT,J
AUT,ALG,J
ALG,AUT,J
AUT,JOR,J
JOR,AUT,J
ARG,ALG,J
ALG,ARG,J
ARG,JOR,J
JOR,ARG,J
ALG,JOR,J
JOR,ALG,J
POR,UZB,K
UZB,POR,K
POR,COL,K
COL,POR,K
POR,COD,K
COD,POR,K
UZB,COL,K
COL,UZB,K
UZB,COD,K
COD,UZB,K
COL,COD,K
COD,COL,K
GHA,ENG,L
ENG,GHA,L
GHA,PAN,L
PAN,GHA,L
GHA,CRO,L
CRO,GHA,L
ENG,PAN,L
PAN,ENG,L
ENG,CRO,L
CRO,ENG,L
PAN,CRO,L
CRO,PAN,L
